City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs),Country,Date
0,Kodiak,57.79,-152.41,19.4,48,20,38.21,few clouds,0.0,0.0,US,2020-02-22 06:23:01
1,Vaini,-21.2,-175.2,80.6,78,75,13.87,smoke,0.0,0.0,TO,2020-02-22 06:26:40
2,Port Alfred,-33.59,26.89,69.01,90,96,5.01,light rain,0.19,0.0,ZA,2020-02-22 06:26:42
3,Busselton,-33.65,115.33,81.0,40,100,9.24,overcast clouds,0.0,0.0,AU,2020-02-22 06:26:47
4,Punta Arenas,-53.15,-70.92,53.6,81,79,14.99,broken clouds,0.0,0.0,CL,2020-02-22 06:25:06
5,Hambantota,6.12,81.12,82.4,100,75,10.29,broken clouds,0.0,0.0,LK,2020-02-22 06:26:55
6,Lebu,-37.62,-73.65,49.96,98,4,1.86,clear sky,0.0,0.0,CL,2020-02-22 06:22:57
7,Bambous Virieux,-20.34,57.76,82.99,58,20,5.82,few clouds,0.0,0.0,MU,2020-02-22 06:26:58
8,Kokopo,-4.35,152.26,85.3,75,0,16.15,clear sky,0.0,0.0,PG,2020-02-22 06:26:59
9,Saint Anthony,45.02,-93.22,25.0,85,1,4.7,clear sky,0.0,0.0,US,2020-02-22 06:27:00
10,Tasiilaq,65.61,-37.64,17.6,61,66,2.24,broken clouds,0.0,0.0,GL,2020-02-22 06:23:12
11,Omboue,-1.57,9.26,75.85,94,97,2.75,light rain,0.13,0.0,GA,2020-02-22 06:27:34
12,Katsuura,35.13,140.3,66.0,55,40,25.28,scattered clouds,0.0,0.0,JP,2020-02-22 06:23:42
13,Mount Isa,-20.73,139.5,96.8,23,100,8.05,overcast clouds,0.0,0.0,AU,2020-02-22 06:27:36
14,Bluff,-46.6,168.33,55.0,60,12,11.01,few clouds,0.0,0.0,NZ,2020-02-22 06:22:42
15,Glendive,47.11,-104.71,33.8,74,1,12.75,clear sky,0.0,0.0,US,2020-02-22 06:27:38
16,Hobart,-42.88,147.33,73.0,49,16,17.22,few clouds,0.0,0.0,AU,2020-02-22 06:25:58
17,Yellowknife,62.46,-114.35,1.0,84,5,10.29,clear sky,0.0,0.0,CA,2020-02-22 06:23:31
18,Quatre Cocos,-20.21,57.76,82.99,58,20,5.82,few clouds,0.0,0.0,MU,2020-02-22 06:27:40
19,Mataura,-46.19,168.86,55.0,60,60,11.01,broken clouds,0.0,0.0,NZ,2020-02-22 06:27:41
20,Mount Gambier,-37.83,140.77,69.8,56,4,18.34,clear sky,0.0,0.0,AU,2020-02-22 06:27:42
21,Puerto Ayora,-0.74,-90.35,78.13,86,47,3.74,light rain,0.19,0.0,EC,2020-02-22 06:27:44
22,Albany,42.6,-73.97,26.6,42,1,8.05,clear sky,0.0,0.0,US,2020-02-22 06:27:45
23,Mangrol,21.12,70.12,79.88,42,13,5.17,few clouds,0.0,0.0,IN,2020-02-22 06:27:46
24,Airai,-8.93,125.41,76.21,85,100,2.77,moderate rain,4.81,0.0,TL,2020-02-22 06:27:48
25,Butaritari,3.07,172.79,79.93,81,100,10.29,light rain,1.69,0.0,KI,2020-02-22 06:27:48
26,Nikolskoye,59.7,30.79,37.99,74,75,17.9,broken clouds,0.0,0.0,RU,2020-02-22 06:27:49
27,Bichura,50.59,107.6,16.36,78,82,2.21,broken clouds,0.0,0.0,RU,2020-02-22 06:27:50
28,Atuona,-9.8,-139.03,81.72,78,98,15.82,overcast clouds,0.0,0.0,PF,2020-02-22 06:22:51
29,Coquimbo,-29.95,-71.34,60.8,87,90,2.24,overcast clouds,0.0,0.0,CL,2020-02-22 06:27:52
30,Rikitea,-23.12,-134.97,78.22,74,16,8.32,light rain,0.13,0.0,PF,2020-02-22 06:27:52
31,Fortuna,40.6,-124.16,48.99,93,90,1.23,overcast clouds,0.0,0.0,US,2020-02-22 06:23:16
32,Hermanus,-34.42,19.23,70.0,79,94,5.99,overcast clouds,0.0,0.0,ZA,2020-02-22 06:27:54
33,Ushuaia,-54.8,-68.3,55.4,76,40,17.22,scattered clouds,0.0,0.0,AR,2020-02-22 06:27:56
34,Tinogboc,12.01,121.41,79.3,75,0,30.65,clear sky,0.0,0.0,PH,2020-02-22 06:27:56
35,Yining,29.04,114.56,64.99,54,0,1.99,clear sky,0.0,0.0,CN,2020-02-22 06:27:57
36,Tomatlan,19.93,-105.25,70.27,89,26,2.08,scattered clouds,0.0,0.0,MX,2020-02-22 06:27:57
37,Dmitriyevskaya,45.66,40.77,38.98,80,100,14.67,overcast clouds,0.0,0.0,RU,2020-02-22 06:27:58
38,Ponta Do Sol,32.67,-17.1,63.0,77,40,9.17,scattered clouds,0.0,0.0,PT,2020-02-22 06:27:59
39,Avarua,-21.21,-159.78,82.4,83,2,9.17,light rain,0.31,0.0,CK,2020-02-22 06:28:00
