City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
9,Saint Anthony,US,25.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
15,Glendive,US,33.8,clear sky,47.11,-104.71,Super 8 by Wyndham Glendive
22,Albany,US,26.6,clear sky,42.6,-73.97,
40,Krasnogorsk,RU,34.0,broken clouds,55.82,37.32,"Hotel ""Academy"""
41,Obodivka,UA,30.0,few clouds,48.41,29.25,
50,Yeniseysk,RU,25.72,overcast clouds,58.45,92.17,"""Domino"""
60,Palmer,US,27.0,clear sky,42.16,-72.33,Wedgewood Motel
72,Bethel,US,32.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
74,Wheeling,US,30.99,clear sky,42.14,-87.93,The Westin Chicago North Shore
79,Karakol,KG,34.74,overcast clouds,42.49,78.39,"Gostinitsa ""Al'tamira"""
80,Jamestown,US,30.2,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
82,Vardo,NO,33.15,overcast clouds,70.37,31.11,Vardø Hotel AS
86,Westport,US,34.0,clear sky,41.14,-73.36,The Westport Inn
92,Grindavik,IS,32.0,scattered clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
103,Miles City,US,33.01,clear sky,46.41,-105.84,FairBridge Inn & Suites Miles City
109,Smithers,CA,32.0,overcast clouds,54.78,-127.17,Prestige Hudson Bay Lodge
114,Huntsville,US,32.0,clear sky,34.73,-86.59,Embassy Suites by Hilton Huntsville Hotel & Spa
131,Port-Cartier,CA,21.2,light snow,50.03,-66.87,Le Q'Artier
134,Berlevag,NO,34.47,overcast clouds,70.86,29.09,Kvitbrakka
138,Aktash,RU,28.0,overcast clouds,50.3,87.73,
142,Chapais,CA,26.6,light snow,49.78,-74.85,Hôtel Opémiska
144,Almaznyy,RU,33.8,mist,48.04,40.05,
156,Sitka,US,33.8,light snow,57.05,-135.33,Westmark Sitka
163,Klaksvik,FO,33.8,moderate rain,62.23,-6.59,Airbnb rooms
166,Petropavlovsk-Kamchatskiy,RU,23.0,clear sky,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
170,Nancha,CN,20.8,overcast clouds,47.13,129.27,Communications Hotel
172,Belyy Yar,RU,33.8,overcast clouds,53.6,91.39,Pasportnyy Stol
184,Rocky Mountain House,CA,26.53,overcast clouds,52.37,-114.92,Walking Eagle Inn & Lodge
186,Shalyhyne,UA,31.8,scattered clouds,51.57,34.12,
187,Mayo,US,32.0,clear sky,38.89,-76.51,Resorts Resource Group International
205,Ostrovnoy,RU,32.52,overcast clouds,68.05,39.51,
209,Avera,US,33.8,clear sky,33.19,-82.53,
215,Vermilion,US,28.4,clear sky,40.17,-87.75,
219,Belebey,RU,27.16,overcast clouds,54.12,54.12,Belebey
220,Saint Paul,US,25.0,clear sky,44.94,-93.09,InterContinental Saint Paul Riverfront
227,Yerbogachen,RU,20.39,overcast clouds,61.28,108.01,
229,Korla,CN,34.43,clear sky,41.76,86.15,Gulisitan Hotel
232,Garden City,US,28.99,clear sky,42.33,-83.33,Quality Inn & Suites Banquet Center
233,Kalachinsk,RU,28.99,overcast clouds,55.05,74.58,Hotel Voschod INN
236,Onega,RU,34.05,overcast clouds,63.91,38.14,Lunny Kot Guest House
239,Mehamn,NO,29.01,overcast clouds,71.04,27.85,Mehamn Arctic Hotel AS
