City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2020-02-21 04:20:15,73.51,80.55,-5.93,90,10,17.05
1,Khatanga,RU,2020-02-21 04:20:16,71.97,102.5,4.42,95,100,9.37
2,Rikitea,PF,2020-02-21 04:20:16,-23.12,-134.97,78.6,75,80,11.27
3,Sao Jose Da Coroa Grande,BR,2020-02-21 04:20:17,-8.9,-35.15,81.23,76,100,7.63
4,Pierre,US,2020-02-21 04:19:01,44.37,-100.35,28.4,58,1,5.82
5,Luganville,VU,2020-02-21 04:20:18,-15.53,167.17,86.0,66,40,6.93
6,Mataura,NZ,2020-02-21 04:20:18,-46.19,168.86,60.01,78,65,24.0
7,Punta Arenas,CL,2020-02-21 04:16:20,-53.15,-70.92,53.6,71,75,23.04
8,Broome,US,2020-02-21 04:20:19,42.25,-75.83,16.0,78,20,4.7
9,Colombia,CU,2020-02-21 04:20:20,20.99,-77.43,71.6,94,0,3.36
10,Verkhnevilyuysk,RU,2020-02-21 04:20:20,63.45,120.32,11.98,93,99,4.41
11,Gabu,GW,2020-02-21 04:20:21,12.28,-14.22,68.83,74,35,4.97
12,Xinpu,CN,2020-02-21 04:20:21,34.6,119.16,51.55,59,100,6.73
13,East London,ZA,2020-02-21 04:20:22,-33.02,27.91,68.0,94,40,5.82
14,Zhezkazgan,KZ,2020-02-21 04:20:22,47.8,67.71,19.4,92,90,13.42
15,Kuytun,RU,2020-02-21 04:20:23,54.34,101.5,17.92,84,55,4.63
16,Atuona,PF,2020-02-21 04:20:23,-9.8,-139.03,81.61,74,64,17.65
17,Puerto Ayora,EC,2020-02-21 04:20:24,-0.74,-90.35,78.28,87,72,9.22
18,Caravelas,BR,2020-02-21 04:20:24,-17.71,-39.25,81.05,84,0,13.94
19,Thompson,CA,2020-02-21 04:20:25,55.74,-97.86,19.4,79,75,8.05
20,Magan,ES,2020-02-21 04:20:25,39.97,-3.93,46.99,80,0,4.7
21,Kamenka,RU,2020-02-21 04:20:26,51.32,42.77,33.01,90,93,3.11
22,Caxito,AO,2020-02-21 04:20:26,-8.58,13.66,78.8,94,75,2.24
23,Cockburn Town,TC,2020-02-21 04:20:27,21.46,-71.14,77.72,79,0,18.23
24,Albany,US,2020-02-21 04:20:27,42.6,-73.97,21.2,48,75,9.17
25,Chandler,US,2020-02-21 04:18:27,33.31,-111.84,71.01,32,20,6.93
26,Yar-Sale,RU,2020-02-21 04:20:28,66.83,70.83,17.47,91,96,15.93
27,Jimenez,MX,2020-02-21 04:20:29,28.33,-105.4,48.2,61,5,10.29
28,Georgetown,MY,2020-02-21 04:20:29,5.41,100.34,89.6,49,20,17.22
29,Tromso,NO,2020-02-21 04:20:30,69.65,18.96,30.2,92,90,35.57
30,Qaanaaq,GL,2020-02-21 04:20:30,77.48,-69.36,-13.88,54,0,4.74
31,Bethel,US,2020-02-21 04:20:31,41.37,-73.41,27.0,44,1,10.29
32,Fairbanks,US,2020-02-21 04:15:47,64.84,-147.72,27.0,85,20,5.01
33,Cape Town,ZA,2020-02-21 04:19:54,-33.93,18.42,66.0,88,0,11.41
34,Fortuna,US,2020-02-21 04:20:32,40.6,-124.16,48.0,87,1,5.82
35,Kavieng,PG,2020-02-21 04:20:34,-2.57,150.8,83.89,74,0,10.76
36,Hobart,AU,2020-02-21 04:17:53,-42.88,147.33,66.0,47,40,12.75
37,Nakamura,JP,2020-02-21 04:20:34,32.98,132.93,54.82,64,11,4.54
38,Medea,DZ,2020-02-21 04:20:31,36.26,2.75,41.0,93,20,3.36
